feature,coef,odds_ratio
"DevType_Developer, AI apps or physical AI",1.2534071041034498,3.5022552008779053
DatabaseHaveWorkedWith_Supabase,0.6514249980024692,1.9182724166601244
DevType_Financial analyst or engineer,0.6459780938740165,1.9078521755045668
PlatformHaveWorkedWith_Vercel,0.571131439960689,1.7702688716930612
Region_South Asia,0.5220444498328969,1.6854699884917093
Industry_Fintech,0.5140430768147662,1.6720377243441422
WebframeHaveWorkedWith_NestJS,0.48850879474468073,1.6298839154132214
Region_Middle East & North Africa,0.46215034657204146,1.587483958055943
DevType_Product manager,0.4599169132431288,1.5839423748920285
DatabaseHaveWorkedWith_Databricks SQL,0.45884814862730744,1.5822504176413188
Industry_Computer Systems Design and Services,0.45263605574625804,1.5724517975656485
PlatformHaveWorkedWith_Homebrew,0.4313755835685196,1.5393736048279005
PlatformHaveWorkedWith_Firebase,0.341278882463086,1.406745502812897
Industry_Healthcare,0.329670148530725,1.390509391244624
Industry_Insurance,0.32699685700335623,1.3867971184747634
Industry_Manufacturing,0.31790563509455955,1.374246574460667
WebframeHaveWorkedWith_Laravel,0.31509866124536573,1.3703945091163894
Industry_Media & Advertising Services,0.310431372335144,1.3640133848801959
DatabaseHaveWorkedWith_Cosmos DB,0.3092193525564782,1.3623611751370568
Region_Sub-Saharan Africa,0.3065844569678352,1.3587762207508958
PlatformHaveWorkedWith_Poetry,0.3010324266846483,1.3512531574876268
"Industry_Internet, Telecomm or Information Services",0.29891110906449936,1.3483897585184814
DatabaseHaveWorkedWith_BigQuery,0.2805670694734166,1.3238803316415624
WebframeHaveWorkedWith_Symfony,0.2779490078526454,1.320418864499082
Region_Southeast Asia,0.25805133974728617,1.2944052713579073
PlatformHaveWorkedWith_Splunk,0.23561755207434226,1.2656901570160208
WebframeHaveWorkedWith_Ruby on Rails,0.22706464089026,1.254910983881743
WebframeHaveWorkedWith_Django,0.21928419036131272,1.2451850960114659
Industry_Other:,0.21566361890116698,1.240684965827546
WebframeHaveWorkedWith_WordPress,0.21543289885160408,1.2403987479501095
Industry_Higher Education,0.21484092334419747,1.2396646795685935
Industry_Software Development,0.21253063602626637,1.2368040037448245
DatabaseHaveWorkedWith_Dynamodb,0.20419278665838925,1.2265345901695939
Industry_Energy,0.19737808738921334,1.2182045414202596
PlatformHaveWorkedWith_Prometheus,0.1873459511625912,1.2060444453652268
PlatformHaveWorkedWith_New Relic,0.1754619949142675,1.1917966934550333
Region_Latin America,0.16249798545479552,1.1764459484427594
Region_Other,0.15758924921961973,1.1706852360630697
WebframeHaveWorkedWith_Express,0.1535353881168506,1.1659490471331728
Region_Eastern Europe,0.13800057721965056,1.147976212908416
DevType_Student,0.13661188052650064,1.146383128549245
LanguageHaveWorkedWith_Swift,0.13574510232208306,1.1453898991564861
DatabaseHaveWorkedWith_Cloud Firestore,0.13492492627686437,1.144450862938908
Industry_Retail and Consumer Services,0.13366424623254222,1.1430089856382297
DatabaseHaveWorkedWith_MySQL,0.13201308324364708,1.1411232487630667
LanguageHaveWorkedWith_Go,0.12412410354530218,1.132156366899944
"DevType_Senior executive (C-suite, VP, etc.)",0.12300784425307171,1.1308932919258752
DatabaseHaveWorkedWith_Snowflake,0.11967623097446611,1.1271318621117778
"Industry_Transportation, or Supply Chain",0.11756923581938568,1.1247595008936284
WebframeHaveWorkedWith_Nuxt.js,0.10503105061648015,1.110745099140334
DevType_Cloud infrastructure engineer,0.09675796773825335,1.1015937201333292
PlatformHaveWorkedWith_Amazon Web Services (AWS),0.07363700326630405,1.076415999078021
DatabaseHaveWorkedWith_MongoDB,0.06656878462616805,1.068834480926936
PlatformHaveWorkedWith_MSBuild,0.05547831005187884,1.0570460895489313
PlatformHaveWorkedWith_Datadog,0.04744482988250142,1.0485883487830296
PlatformHaveWorkedWith_Composer,0.04265558397493584,1.0435784078205548
LanguageHaveWorkedWith_Dart,0.023812124600109234,1.0240978970136843
DevType_Engineering manager,0.01299317749228789,1.0130779556040663
DatabaseHaveWorkedWith_Firebase Realtime Database,0.0009180988618861565,1.0009185204436544
PlatformHaveWorkedWith_Kubernetes,-0.0012316392375836033,0.9987691189187319
PlatformHaveWorkedWith_Ansible,-0.02200921784500309,0.9782312178259073
DevType_Project manager,-0.031875502109993174,0.9686271666112283
PlatformHaveWorkedWith_Terraform,-0.034803238046842086,0.9657954293583105
DatabaseHaveWorkedWith_MariaDB,-0.050219183766961106,0.9510209532997939
"DevType_UX, Research Ops or UI design professional",-0.08510614852505616,0.918414790851712
"DevType_Developer, front-end",-0.08605198613688768,0.917546530280744
DevType_Data scientist,-0.08783770090493792,0.9159095159465905
PlatformHaveWorkedWith_Podman,-0.11352898466243964,0.8926783220563751
LanguageHaveWorkedWith_Groovy,-0.12284004738673941,0.8844051141569335
LanguageHaveWorkedWith_Ruby,-0.14306858515445955,0.866694624472321
WorkExp,-0.15179920510768696,0.8591607785182098
LanguageHaveWorkedWith_Bash/Shell (all shells),-0.15276199142667982,0.8583339883498352
"DevType_Architect, software or solutions",-0.20232236841514153,0.8168315647975563
Industry_Government,-0.20414053263152468,0.8153477801664378
PlatformHaveWorkedWith_Supabase,-0.20473425126952483,0.8148638366702535
LanguageHaveWorkedWith_Elixir,-0.2112967638996029,0.8095337908257844
DevType_Data engineer,-0.21508075366627208,0.8064763116287521
PlatformHaveWorkedWith_Make,-0.22555153834076055,0.7980759278788241
DevType_Cybersecurity or InfoSec professional,-0.2625002217187493,0.7691261938388538
LanguageHaveWorkedWith_PHP,-0.27597106142901784,0.7588348900408339
Region_Western Europe,-0.31127784681798465,0.7325103219301456
Region_Oceania,-0.3140685294969921,0.7304689677732081
"DevType_Founder, technology or otherwise",-0.32395359087794046,0.7232838085675033
Industry_Unknown,-0.3488979258082265,0.7054651363785295
"DevType_Developer, full-stack",-0.3992529497975449,0.6708209958557746
"DevType_Developer, mobile",-0.4012967129115692,0.6694513966931871
DevType_DevOps engineer or professional,-0.4741514864207636,0.6224129583144257
Region_North America,-0.5076820471471301,0.6018891137024526
LanguageHaveWorkedWith_Perl,-0.5242429336249125,0.5920033806097981
"DevType_Developer, back-end",-0.5635997085202311,0.5691565741135683
DevType_Applied scientist,-0.6438767958322104,0.5252521763383938
"DevType_Developer, QA or test",-0.6656244368948399,0.5139524965841625
DevType_Other (please specify):,-0.7244539415534074,0.48458911069818605
DevType_Support engineer or analyst,-0.7830414843611119,0.4570138947143814
"DevType_Developer, desktop or enterprise applications",-0.8268736827775258,0.43741464787981665
DevType_Retired,-0.8523410810070325,0.4264154893139714
DevType_Academic researcher,-0.8657086147867373,0.42075329495852837
"DevType_Developer, embedded applications or devices",-0.8940590630938734,0.4089922535501536
DevType_System administrator,-1.0363222190892072,0.35475700420091766
DevType_Data or business analyst,-1.1920025121195703,0.30361266686339294
DevType_Database administrator or engineer,-1.2939820790739025,0.2741768126487404
"DevType_Developer, game or graphics",-1.4150720331339233,0.24290811538572324
